CompanyName,JD,TextioCat,TextioScore
Abbott,"JOB DESCRIPTION:
Major Responsibilities:
External customer facing function in Alinity selling cycle - Act as a trusted advisor to healthcare customers, assess opportunities and benefits from new informatics solutions, perform business analysis, evaluate IT infrastructure and technical feasibility to design customized integrated solutions; work with team members to develop and deliver product demo, proof of concept, solution presentation and proposal; produce Statement of work (SOW) to ensure alignment of customer expectation and Abbott solution; External function for BIS/PS consulting - Act as consultant and solution partner to healthcare customers, evaluate their business KPIs and organization strategic needs, customize and implement advanced data analytics solution, interpret data insights to discover customer’s business issues and advise improvement opportunities; Internal function of offering packaging and training - Act as subject matter expert (SME) on Abbott informatics solutions, develop APAC customized solution packages, work with pricing team to define APAC pricing, advise commercial team on selling strategies; be responsible for training and coaching associated commercial teams and implementation team on Abbott informatics solutions and general information technology in healthcare industry;
Internal function of solution enhancement or new initiatives - Be knowledgeable about industry trends, technology trends and how technology drive changes in diagnostics and healthcare industry; develop business cases, selling strategies and prototypes for new informatics solution initiatives
JOB FAMILY:
IT Services & Solutions Delivery
DIVISION:
ADD Diagnostics
LOCATION:
India > Mumbai : BKC Building
ADDITIONAL LOCATIONS:
WORK SHIFT:
Standard
TRAVEL:
Yes, 100 % of the Time
MEDICAL SURVEILLANCE:
Not Applicable
SIGNIFICANT WORK ACTIVITIES:
Continuous sitting for prolonged periods (more than 2 consecutive hours in an 8 hour day)
",4,27
AbbVie,"Job description
Research project: Opportunities of artificial gastrointestinal models in biopharmaceutical method development and its impact on oral drug formulation development
The Pharmaceutics Team within NCE Formulation Sciences department is seeking a motivated Post-Doctoral Fellow with a strong interest in better understanding the opportunities and limitations of available biopharmaceutic methods. Specifically, the selected candidate will be involved in:
Establishing new and improving existing biopharmaceutics methods to study the behavior of orally administered drugs in the GIT
Method development for analytical characterization of the samples processed by in vitro dissolution assays
Evaluation of physico-chemical characteristics of active pharmaceutical ingredients (API) and corresponding formulation prototypes in order to select the suitable bio relevant in vitro method
Comparison of in vitro data with in vivo data with regard to pharmacokinetic parameters
Process optimization in analytics and formulation development using Design of Experiments methodology
Drive innovative science, monitor or conduct experiments and studies, to advance projects or technologies
Supervision of students and pharmaceutics interns in scientific initiatives
Sharing information and presenting results in globally acting teams
Description of experiments, presentation and assessment of results in reports and publications as well as documentation of the gained knowledge in SOPs
Temporary position for 24 month.
Desired Skills and Experience
PhD in natural sciences, preferably with a background in pharmacy, pharmacology, analytical chemistry, biochemistry, biology, biotechnology or related field
Demonstrated skills in analytical characterization of new chemical entities (especially drug release and HPLC/UPLC)
Experience with gastro-intestinal testing with the TNO gastroIntestinal Models (TIM) preferable
Strong knowledge in pharmacokinetics and pharmacodynamics methodologies
Knowledge in pharmaceutical technology and formulation
Ability to develop, design, execute and manage complex research programs
Proficient in data analysis, quantitative techniques
Strong analytical mind with good problem solving and writing skills
Fluent in English, German is a plus
Team player with excellent organizational and communication/presentation skills
Ability to interact and establish positive interaction with internal/external customers
Highly motivated and independent, organized and result-oriented
We are looking forward to your application. Please provide information about your salary expectations and possible start date in your motivation letter.
An equal opportunity employer. AbbVie welcomes and encourages diversity in our workforce.
Learn more about AbbVie Deutschland at www.abbvie.de Visit www.abbvie-care.de for more information about the therapeutic areas in which we’re active.
Seniority Level
Entry level
Industry
Pharmaceuticals
Employment Type
Full-time
Job Functions
",5,45
Accenture,"Accenture Technology powers our clients’ businesses with innovative technologies—established and emerging—changing the way their people and customers experience work, life and entertainment. Join Accenture Technology and you’ll translate the operational needs of the world’s governments and leading businesses into the innovative technical solutions that will enable them to better serve their customers—your friends, family and neighbors.You’ll deliver everything from point solutions for a single business function to large, long-term outsourcing services, to complex systems integration installations spanning multiple businesses and functions. You’ll create custom-designed solutions or integrate our technology platforms with their operations. Role : Technical Architect Role Description : Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security. Must have Skills : Machine Learning Good to Have Skills : No Technology Specialty Job Requirements : 1 Must to have Masters in Statistics/Mathematics/Econometrics/Compute Sci or BTech with MBA in Finance/Marketing with strong quantitative background Ability to translate business problems into analytics problem and then to business insights 2 Must to have knowledge of customer and marketing analytics 3 Must to have Deep industry knowledge on any 2 of the following: Retail Banking, Insurance,Media,Entertainment,Telecom,OilGas,Retail,CPG,Manufacturing,Hi-Tech Industry Familiarity with the Model deployment process/framework,Marketing Campaign management process 4 Deep understanding of Statistical algorithms :Linear and Non-Linear models, classification problem,optimization techniques,Market mix models, A/B Testing and campaign management,Feature ranking/selection techniques,supervised/unsupervised learning, Collaborative filtering,AprioriMarket Basket analysi,SVM,Gradient boosting,Survival analysis 5 Good to have hands on exp in SAS,Revo R,Machine learning in Python Mahout,Jupyter notes
15 years of full time education
",5,32
ADP,"Job description
ADP is looking for a Product Development Executive (Director), for Hyderabad location. Let us tell you some more...
Summary
Our industry is starting to go through a transformational shift and we intend to lead it. As talent becomes the main differentiator between failure and success, organizations must attract, engage and develop their people more than ever. To do so, they need powerful, sophisticated tools that take the pain out of HR management and empower employees & people leaders. That is where we come in.
As a key member of GPT leadership team, you will execute & influence the strategic vision of ADP HCM platform. You will lead several teams in expanding our HCM applications by driving innovation. The Product Executive will be deeply involved in architecture & user experience design; client interactions & demoes, liaising with Business, Product management and Sales to support organization readiness, with people leadership and technology curiosity at its core. The Product executive will sustain the high accountability & ownership culture in the scrum teams, regularly share progress with GPT Executive leadership team, introduce best practices from various agile frameworks and enable teams to apply learnings from retrospectives to improvise product development & support processes. The leader will inspire associates to adopt an entrepreneurial mindset by example.    
You should join if you are:
High velocity and hands-on:
The type of person who can’t sit still and instantly goes after the next idea or opportunity, brings it to the team or does it themselves, as long as it gets done quickly and with high quality.
Client focus:
Be a champion for the Clients and help clients focus on their business by providing best of breed HCM/HRIS solutions. Be the ‘voice of client’ during ‘construction’ phase.
An energizer, influencer & people leader:
We are looking for leaders who will help us energize and lead--not from authority, but with inspiration and knowledge.
A product delivery leader and strong problem solver:
We are building applications for large global clients. We are innovating to continue to accelerate and allow for federated development across the globe. Leader is expected to lead by example by of ‘Results Oriented’ and be a strong problem solver
Required Experience
16+ years of hands on experience across full Product development life cycle (Architecture, design, development, delivery, etc.) and proven leadership in delivering cloud solutions.
Highly proficient in Java/J2EE, JavaScript, DB, micro services, AWS, dockers with excellent knowledge of Design Principles/patterns and Architecture Principles.
Significant exposure to managing senior global stakeholders, strong collaborator, team player and been a leader of leaders.
Experience in building world class organizations including hiring and developing great talent, leading large global teams (> 150+) and creating a high performance culture.
Experience in iterative, Agile environment
Strong CS and product development fundamentals (design patterns, database schema design, data modeling, API design and considerations, design by promise, quality concepts including TDD & BDD approaches)
Strong technical acumen and cross-functional familiarity with Product Management and UX
Bachelor’s Degree with MBA and/ or advanced Technical Degree required
Does this sound like you? Then, what are you waiting for? Apply now
Seniority Level
Director
Industry
Information Technology and Services
Employment Type
Full-time
Job Functions

",2,52
Aetna,"Job Description
POSITION SUMMARY
The Product Specialist is accountable for sales, both new and conversions, client growth and member retention for Texas Health Aetna (TH+A). This is a newly created position in which the Product Specialist will partner with the TH+A Chief Sales Officer (CSO) and Aetna sales teams, and be directly involved in the identification of sales opportunities providing technical support, guidance, coaching and direction to assigned local market sales teams across all segments. He/she will provide guidance to sales reps on the TH+A Value Proposition. The Product Specialist will be responsible for the delivery and refresh of the TH+A Value Proposition to National Accounts, Public & Labor, Middle Market and Small Group segments. He/she will ensure proper alignment at the local market level between TH+A and his/her assigned Aetna sales team members and their assigned broker partners. Identifies and provides sales and product support to expand and maintain business relationships directly in the market with new and existing large, complex accounts. The Product Specialist will report to the TH+A CSO.
Fundamental Components
Cultivates strong, productive and influential relationships with brokers/consultants, and directly with prospects, customers and peers focusing on the larger or more complex accounts/prospects
Develops and implements strategies necessary to attain sales objectives in assigned areas and with assigned teams
Works collaboratively with the TH+A CSO, Sales Support, Marketing, Network, Product and Aetna Local Markets to identify, win and grow profitable membership opportunities in the marketplace
Foster sales by providing prospect and customer insights to TH+A to support delivering products and services that meet market needs
Lead ongoing market and competitive analyses to aid strategic decision making and development of key messaging positioning in support of the TH+A value proposition
Evaluates market research and adjusts strategy to meet the changing market and competitive conditions
BACKGROUND/EXPERIENCE Desired
5 years industry or customer service experience.
Experience with multi-segment, large scale sales opportunities with high degree of complexity
Demonstrated proficiency successfully implementing change in complex organizations
Demonstrated relationship management skills at the senior level; capacity to quickly build and maintain credible relationships at varying levels of the organization simultaneously. Works very well within client sales and service teams.
EDUCATION
The highest level of education desired for candidates in this position is a Bachelor's degree or equivalent experience.
Additional Job Information
Aetna is about more than just doing a job. This is our opportunity to re-shape healthcare for America and across the globe. We are developing solutions to improve the quality and affordability of healthcare. What we do will benefit generations to come.
We care about each other, our customers and our communities. We are inspired to make a difference, and we are committed to integrity and excellence.
Together we will empower people to live healthier lives.
Aetna is an equal opportunity & affirmative action employer. All qualified applicants will receive consideration for employment regardless of personal characteristics or status. We take affirmative action to recruit, select and develop women, people of color, veterans and individuals with disabilities.
We are a company built on excellence. We have a culture that values growth, achievement and diversity and a workplace where your voice can be heard.
Benefit eligibility may vary by position. Click here to review the benefits associated with this position.
Aetna takes our candidate's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately.
Req#
49274BR
Job Group
Sales and Service
EEO Statement
Aetna is an Equal Opportunity, Affirmative Action Employer
Primary Location
TX-Dallas
Additional Locations
TX-Arlington, TX-Dallas, TX-Fort Worth
Percent Of Travel Required
25 - 50%
Potential Telework Position
No
Full or Part Time
Full Time
Supervisory
No
",5,74
AIG,"Job description
Position Description:
Responsible for managing all aspects of the Auto & Personal Property business in Hong Kong with accountability on the P & L. The core focus of this role is to ensure we have a value proposition that supports the business flow.
Job Functions:
Work with country manager and regional teams to develop and implement the correct strategy
Oversight on all aspects related to the product offering with a focus on product manufacturing and distribution strategies
Create strong relationships with departments affecting product to ensure:
a. Bottom line KPIS are on track
b. Profitable growth
c. An enhanced and market leading value proposition
Creation of a technical reporting unit allowing data driven decisions supported by regular insights with a focus on policy conversion, retention and performance.
Works with the various departments including Claims, Operations, Distribution, IT, and Legal to define the relevant Strategies and Objectives for the business segment, and together they monitor our progress on these items for the business segment.
Responsible for the ""health/culture"" of the IPI team.
Drives talent management and development for IPI team.
Position Requirements:
5-10 years' work experience in an insurance product management role
Degree holder, with major in Marketing or Business preferable
Demonstrable track record of successful client management and client acquisition in the Hong Kong market
Strong knowledge of market segmentation, portfolio management, acquisition and multiple distribution systems
Strong knowledge in marketing, data analytics and data-driven business performance management
Strategic orientation, managing vision and purpose, developing organizational capability
Strong execution and results orientation
Proven ability to lead, motivate and gain commitment and trust from direct reports and colleagues.
Strong communication and interpersonal skills
Self-starter, ability to discover problems and implement solutions
About AIG
American International Group, Inc. (AIG) is a leading global insurance organization. Founded in 1919, today AIG member companies provide a wide range of property casualty insurance, life insurance, retirement products, and other financial services to customers in more than 80 countries and jurisdictions. These diverse offerings include products and services that help businesses and individuals protect their assets, manage risks and provide for retirement security. AIG common stock is listed on the New York Stock Exchange and the Tokyo Stock Exchange.
Join our Talent Network at http://www.aig.com/careers/life-at-aig/join-the-talent-network. Additional information about AIG can be found at www.aig.com and http:// www.aig.com/strategyupdate | YouTube:http://www.youtube.com/aig | Twitter: @AIGinsurance | LinkedIn: http://www.linkedin.com/company/aig. These references with additional information about AIG have been provided as a convenience, and the information contained on such websites is not incorporated by reference into this press release.
",3,36
Allstate Insurance,"Where good people build rewarding careers.
Think that working in the insurance field can’t be exciting, rewarding and challenging? Think again. You’ll help us reinvent protection and retirement to improve customers’ lives. We’ll help you make an impact with our training and mentoring offerings. Here, you’ll have the opportunity to expand and apply your skills in ways you never thought possible. And you’ll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.
Job Description
The Leadership Development Family provides formal learning programs, experiential learning, relationship-based learning, development consulting, development services and solutions, as well as personal and professional development to ensure Allstate’s readiness for future leadership and business challenges.  The outcome is increased and improved individual, team, and organizational performance.  The scope of Leadership Development’s function is Executives, strategic talent pools, all managers, emerging leaders, and all employees as self-leaders.
 
The Leadership Development Associate Manager is responsible for developing and directing the activities that provide leadership development opportunities to internal clients across the enterprise by applying professional competency and judgment, knowledge, and experience. The Associate Manager leads projects and teams to result in the development, implementation, and delivery of complex, critical and innovative solutions that support the leadership development strategy. The Associate Manager also has budget planning and adherence accountabilities for programs/processes they own.
 
Act as internal consultant to all levels of management, in order to resolve complex/critical leadership development issues and effectively communicate leadership development as a business imperative by linking development to business outcomes
Develop services and programs, directly and through a team of direct reports, to retain, develop, and prepare top leadership talent for new and expanded accountabilities
Develop, and plan company-wide leadership development events and activities
Introduce and serve as contact for leadership development initiatives based on Allstate’s unique needs
Partner and collaborate with other AORs and departments in Human Resources (Workforce Measurement, Workforce Relations, Talent Acquisition, Inclusive Diversity, and Law/Regulation) to ensure holistic and systemic leadership development
Build relationships with client groups to integrate development opportunities and strategies with business strategies
Actively work with business partners, client services, and Areas of Responsibilities (AORs) to ensure that leadership development practices are understood and supported; actively participate in the delivery of core leadership development initiatives; work with clients to gain in depth knowledge of client business objectives and or goals
Develop and maintain program/process metrics to demonstrate business value
Sustain and grow knowledge on leadership development in the industry through benchmarking and maintaining contact with others in the field (e.g., professional associations and educational groups)
Effectively manage and lead team; execute all talent management processes (e.g., select talent, develop talent, evaluate talent, etc.)
Plan, monitor, and maintain department expense plan
Job Qualifications
Candidates will be asked for work examples demonstrating design of an interactive e-learning course, design document, samples of virtual instructor led webinars including presentation and facilitator notes, job aid design and curriculum of blended learning solutions.        
Bachelor’s degree in related fields in Education or Adult Learning; Advanced degree in Instructional Design preferred
Experience: 5+ years of equivalent experience, in a position with demonstrated success in the area of e-learning authoring tools, LMS, Micro-learning/social learning, gamification,and blended learning solutions.
Experience in agile instructional design and design thinking. 
Experience working with employees and management of all levels
Strong client focus with outstanding judgment, critical thinking, and communication skills
Sensitivity to the diverse needs of all individuals
Understanding of human resources principles and practices
Understanding of cross-cultural, international, and diversity communication theories
Presentation skills with subject matter expertise and experience to communicate and provide recommendations to managers and HR
Excellent interpersonal, cross-cultural communication, organizational, and problem-solving skills
Advanced knowledge of the Microsoft Suite of business software
Advanced facilitation and presentation skills
Ability to think strategically, conceptually, analytically and creatively
Ability to influence others to achieve results
Advanced time management skills including ability to handle multiple projects, prioritize and organize, and create alignment and buy in from clients and direct reports
Demonstrated clear, concise and effective verbal and written communication skills
Ability to establish, manage and leverage relationships with internal and external partners
Strong analytical and problem solving skills
Advanced project management skills
Consulting presence – ability to interact and facilitate meetings with various levels of leadership, adapting behavior to different people and situations
Consulting capabilities – develops relationships with various stakeholders that maximize the achievement of business outcomes, client commitment and long-term sustainability
The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.
Good Work. Good Life. Good Hands®.
As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy.
Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.
Allstate generally does not sponsor individuals for employment-based visas for this position.
Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.
For jobs in San Francisco, please click ""here"" for information regarding the San Francisco Fair Chance Ordinance. 
For jobs in Los Angeles, please click ""here"" for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.
It is the policy of Allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the Vietnam Era.
",5,79
Anthem,"Job description
Your Talent. Our Vision. At Anthem, Inc., it's a powerful combination, and the foundation upon which we're creating greater access to care for our members, greater value for our customers, and greater health for our communities. Join us and together we will drive the future of health care.  This is an exceptional opportunity to do innovative work that means more to you and those we serve at one of America's leading health benefits companies and a Fortune Top 50 Company.
$1,000 sign-on bonus offered for this role!
Location: This position must sit in either our Denver or our Colorado Springs area office for at least the first 3-9 months of training. Some field work may be required.
The BH Case Manager I is responsible for performing case management telephonically and/or by home visits within the scope of licensure for members with behavioral health and substance abuse or substance abuse disorder needs. Primary duties may include but are not limited to:
Uses appropriate screening criteria knowledge and clinical judgment to assess member needs.
Conducts assessments to identify individual needs and develops care plan to address objectives and goals as identified during assessment. Monitors and evaluates effectiveness of care plan and modifies plan as needed.
Supports member access to appropriate quality and cost effective care. Coordinates with internal and external resources to meet identified needs of the members and collaborates with providers.
The BH Case Manager II is responsible for performing case management telephonically and/or by home visits within the scope of licensure for members with behavioral health and substance abuse or substance abuse disorder needs. Subject matter expert in targeted clinical areas of expertise such as Eating Disorders (ED) Maternity Alcohol / Drug Autism Spectrum Disorders (ASD) etc. Primary duties may include but are not limited to:
Responds to more complex cases and account specific requests. Uses appropriate screening criteria knowledge and clinical judgment to assess member needs.
Conducts assessments to identify individual needs and develops specific care plan to address objectives and goals as identified during assessment.
Monitors and evaluates effectiveness of care plan and modifies plan as needed.
Supports member access to appropriate quality and cost effective care. Coordinates with internal and external resources to meet identified needs of the members and collaborates with providers.
Serves as a resource to other BH Case Mgrs.
The BH Case Manager III is responsible for performing case management telephonically and/or by home visits within the scope of licensure for members with behavioral health and substance abuse or substance abuse disorder needs. Subject matter expert in targeted clinical areas of expertise such as Eating Disorders (ED) Maternity Alcohol / Drug Autism Spectrum Disorders (ASD) etc. Primary duties may include but are not limited to:
Serves as a resource to other BH Case Mgrs. Assists with more complex cases and will participate in inter- and intradepartmental teams projects and initiatives.
Will serve as key support to the BH Case Manager Ld in implementing identified operational processes/ key projects. Will develop expertise in specified areas of business needs to assist management with unit operations.
Responds to more complex cases and account specific requests. Uses appropriate screening criteria knowledge and clinical judgment to assess member needs.
Conducts assessments to identify individual needs and develops specific care plan to address objectives and goals as identified during assessment.
Monitors and evaluates effectiveness of care plan and modifies plan as needed.
Supports member access to appropriate quality and cost effective care.
Coordinates with internal and external resources to meet identified needs of the members and collaborates with providers. Serves as a resource to other BH Case Mgrs.
Participates in cross-functional teams projects and initiatives.
Please Note: This position may be filled as a Behavioral Health Case Manager I, Behavioral Health Case Manager II, or Behavioral Health Case Manager III. We will determine the level based upon the selected applicant’s skill set relative to the qualifications for this position.
BH Case Manager I Requirements:
You must be licensed.
MS or MA in social work, counseling, or a related behavioral health field or a master's degree in nursing;
3-5 years clinical experience in social work counseling with broad range of experience with complex psychiatric and substance abuse or substance abuse disorder treatment; or any combination of education and experience which would provide an equivalent background.
Current active unrestricted license as an RN, LCSW (as applicable by state law and scope of practice) LMHC, LPC (as allowed by applicable state laws) LMFT or Clinical Psychologist to practice as a health professional within the scope of licensure in applicable states or territory of the United States required.
Experience in case management and telephonic and/or in person coaching with members with a broad range of complex psychiatric/substance abuse and/or medical disorders preferred. For Government business only LAPC, LAMFT, LMSW (as allowed by applicable state laws) is also acceptable in addition to other licensure referenced above; and any other state or federal requirements that may apply.
BH Case Manager II Requirements:
You must be licensed.
Requires MS or MA in social work counseling or a related behavioral health field or a Master's degree in nursing;
5-7 years of clinical experience in social work counseling with broad range of experience with complex psychiatric and substance abuse or substance abuse disorder treatment; or any combination of education and experience which would provide an equivalent background.
Current active unrestricted license as an RN, LCSW, LMHC, LPC (as allowed by applicable state laws), LMFT, or Clinical Psychologist to practice as a health professional within the scope of licensure in applicable states or territory of the United States required.
Previous experience in case management and telephonic and/or in person coaching with members with a broad range of complex psychiatric/substance abuse and/or medical disorders.
Managed care experience required. For Government business only an LAPC, LAMFT, LMSW (as allowed by applicable state laws) is also acceptable in addition to other licensure referenced above; and any other state or federal requirements that may apply.
Experience in health coaching and motivational interviewing techniques preferred.
BH Case Manager III Requirements: 
You must be licensed.
MS or MA in social work counseling or a related behavioral health field or a Master's degree in nursing;
7+ years of clinical experience in social work counseling with broad range of experience with complex psychiatric and substance abuse or substance abuse disorder treatment; or any combination of education and experience which would provide an equivalent background.
Current active unrestricted license as an RN, LCSW, LMHC, LPC (as allowed by applicable state laws), LMFT, or Clinical Psychologist to practice as a health professional within the scope of licensure in applicable states or territory of the United States required. Extensive experience in case management and telephonic and/or in person coaching with members with a broad range of complex psychiatric/substance abuse and/or medical disorders required.
Managed care experience required. For Government business only an LAPC, LAMFT, LMSW (as allowed by applicable state laws) is also acceptable in addition to other licensure referenced above; and any other state or federal requirements that may apply.
Experience in health coaching and motivational interviewing techniques preferred.
Anthem, Inc. is ranked as one of America’s Most Admired Companies among health insurers by Fortune magazine and is a 2017 DiversityInc magazine Top 50 Company for Diversity. To learn more about our company and apply, please visit us at antheminc.com/careers. EOE. M/F/Disability/Veteran.
Seniority Level
Mid-Senior level
Industry
Hospital & Health Care
 
Insurance
Employment Type
Full-time
Job Functions
Other

",3,0
Aramark,"Job description
Overview:
Aramark (NYSE: ARMK) is in the customer service business across food, facilities and uniforms, wherever people work, learn, recover, and play. United by a passion to serve, our more than 270,000 employees deliver experiences that enrich and nourish the lives of millions of people in 22 countries around the world every day. Aramark is recognized among the Most Admired Companies by FORTUNE and the World’s Most Ethical Companies by the Ethisphere Institute. Learn more at www.aramark.com or connect with us on Facebook and Twitter.
 
Aramark’s leisure group specializes in lodging, recreation, conference centers and meeting services. The scope of our operations includes lodging, conference and meeting space, houseboats and other marine activities, retail merchandise, casual and fine dining experiences, and interpretive tours in some of this country's most pristine protected lands and national parks. We have been active partners with the National Park Service for over 20 years, providing high-quality visitor services in numerous locations across the United States. We are one of the nation’s leading managers of conference centers with a strong focus on customer experience. We are considered a premier provider of professional services by clients and competition alike, committed to providing high-quality recreation, hospitality and authentic experiences to clients and visitors from all over the world.
Description:
To oversee daily operations, scheduling, and customer interactions for the AV department, who provide technical assistance with AV equipment, first level computer support for guests, faculty and staff.  Stock and maintain classroom, meeting room, and break out room stationery supplies as needed.  Maintain client relationships and manage assigned client project initiatives.  Ensure that all AV and computing priorities are met in an accurate and timely manner.
Daily - Ensure all classrooms, meeting rooms, and breakout rooms are properly stocked with stationary supplies.
Daily - Ensure all classroom, meeting room, and break out room Audio Visual supplies and equipment and in working order and immediately report any malfunctions to appropriate parties (Management and/or college IT Team).
Enforce and ensure that all policies and procedures are properly understood and followed.
Understands all pertinent aspects of hardware and software used at the center.
Attend all mandatory meetings.
Attend applicable training sessions as designated by the Leadership team.
Perform basic maintenance and cleaning of all AV equipment.
Advise faculty on best practices for our AV environment; assist with the execution of their more intricate requests and modify presentations, etc. as required.
Analyze business needs; schedule staff accordingly, and coordinate daily team activity.
Maintain inventory of required supplies, and public area room stock levels, and place supply orders as needed within budgetary guidelines.
Assist with setting up and checking equipment prior to class starts.
Assist faculty, staff and guests with use of AV and computers and software.
Consistently evaluate equipment and provide feedback to appropriate parties.  Recommend upgrades and equipment purchase options.
Monitor staff performance and behavior, and correct/praise as appropriate.
Make suggestions on future purchasing and necessary upgrades of equipment; remain current on industry trends.
Manage client relationship to include:  Program management, IT project distribution, product ordering and forecasting
Manage internal systems both for ARAMARK and client.  Communicate updates and changes with Senior Team when appropriate
Use good judgment, common sense, and fairness in decisions with all team members
Maintain a high level of morale and cooperation
Communicate all appropriate information to team leaders and managers via the established communication standards
Represent ARAMARK and the client in such a manner as to enhance their reputation
Evidence by personal example, the philosophy of work ethic, personal and professional development that leads to maximum satisfaction and performance of all assigned tasks
Follow and ensure that the business conduct policy is met
At management discretion assist other departments as needed with projects, assignments, classroom set-ups, box moves, Shipping & Receiving, etc
Performs all other duties as assigned.
 
Qualifications:
Individual should ideally possess 2 years experience in the audiovisual industry required
Management or supervisory over a small team (5 or less employees) preferred
Must possess strong communication and interpersonal skills and work well independently and as part of a team
Strong time management and multitasking abilities required.  Working knowledge of computers in a networked environment, basic telecommunication, troubleshooting, videoconferencing, audio reinforcement and video projection systems are preferred
Must be proficient in MS Office Applications
Aramark is an EQUAL EMPLOYMENT OPPORTUNITY/AFFIRMATIVE ACTION employer &ndash; Minority/Female/Disability/Veteran
Desired Skills and Experience
College degree in the audio, video or acoustical field
Experience with conference center or hotel audio-visual environment
Must have knowledge of personal computers and software
Must have professional customer interaction skills
",3,44
AT&T,"Job description
Job Summary:-
Manages, designs, delivers and deploys aspects of network architecture, design and engineering and network specifications in order to migrate client from current network environment to the new environment. May include vendor management, client relations, resource planning and management, new equipment installation and configuration. Overall responsible for maintaining the entire network as per agreed performance specification. The candidate must have excellent written and oral communication skills, should be able to work in client location with multi-vendor environment. This is a client facing role so the candidate must be able to interact with different technical teams, and application groups to understand their requirements and provide solutions according to their requirements. Below are some technical skills which are critical for this job role.
Roles and Responsibilities:
Develops plans and/or designs Network requirements and standards. 
Responsibilities include translating customer requirements into functional specifications and Vendor selection.
Configure and install various network devices and services.
Provides technical support to Transport, ITA, External Vendors, Supplier Management etc.
Provide Level-2/3 support and troubleshooting to resolve issues.
Monitors the performance of the overall network and its elements, responds to and fixes troubles, and performs preventative and routine maintenance activities.
Recommends systems improvements to overall network to maintenance impacts.
Maintains network performance by performing network monitoring and analysis, and performance tuning; troubleshooting network problems; escalating problems to vendor.
Work with vendors and internal support teams to update, maintain, and patch all network infrastructure.
Key Competencies and Skills:
Over 6 years of experience
Proven hands-on network engineering experience on Nexus, Cisco, Arista & Juniper.
Understand customer requirement & design a solution & then implement the same.
Expert knowledge of all LAN switching technologies eg Spanning Tree, VLAN management and VTP concepts – Needed on Cisco, Nexus & Junipers.
Expert knowledge on BGP, MPLS, EIGRP, OSPF routing protocols – on Cisco & Juniper
Very Strong understanding of WAN acceleration technologies like Riverbed etc
Very strong knowledge on packet shapers.
Good understanding of Internet Proxy technologies with Blue Coat products.
Good understanding of wireless technologies
Strong knowledge on Checkpoint Firewalls
Working knowledge on PaloAlto firewalls devices.
Vendor management, circuit provisioning, attending meeting with different carriers discussing optimizing current network environment and future growth
Performing Network application Readiness
Expertise on design and configuring of Infoblox appliances for DNS and DHCP services
Strong knowledge on packet capturing and deep packet analysis.
CCIE is a must. CCIE can be from Routing & Switching or Data Center or Service Provider or Wireless or Collaboration.
Education & Qualifications
CCIE Certification is must
Engineering Graduate
Special Condition
24/7 Support, Candidate should be open to work in various shifts including night shifts.
 
Location
Gurgaon Only.
",2,23
